country,continent,year,economy,health,social_support,freedom,corruption_perception,generosity,happiness_rank,happiness_score
North Cyprus,Asia,2015,1.20806,0.92356,1.07008,0.49027,0.1428,0.26169,66,5.695
Cyprus,Asia,2015,1.20813,0.92356,0.89318,0.40672,0.06146,0.30638,67,5.689
Algeria,Africa,2015,0.93929,0.61766,1.07772,0.28579,0.17383,0.07822,68,5.605
Kosovo,Europe,2015,0.80148,0.63132,0.81198,0.24749,0.04741,0.2831,69,5.589
Turkmenistan,Asia,2015,0.95847,0.53886,1.22668,0.4761,0.30844,0.16979,70,5.548
Mauritius,Africa,2015,1.00761,0.7095,0.98521,0.56066,0.07521,0.37744,71,5.477
Hong Kong,Asia,2015,1.38604,1.01328,1.05818,0.59608,0.37124,0.39478,72,5.474
Estonia,Europe,2015,1.15174,0.77361,1.22791,0.44888,0.15184,0.0868,73,5.429
Indonesia,Asia,2015,0.82827,0.63793,1.08708,0.46611,0.0,0.51535,74,5.399
Vietnam,Asia,2015,0.63216,0.74676,0.91226,0.59444,0.10441,0.1686,75,5.36
Turkey,Asia,2015,1.06098,0.73172,0.94632,0.22815,0.15746,0.12253,76,5.332
Kyrgyzstan,Asia,2015,0.47428,0.65088,1.15115,0.43477,0.04232,0.3003,77,5.286
Nigeria,Africa,2015,0.65435,0.16007,0.90432,0.34334,0.0403,0.27233,78,5.268
Bhutan,Asia,2015,0.77042,0.57407,1.10395,0.53206,0.15445,0.47998,79,5.253
Azerbaijan,Asia,2015,1.02389,0.64045,0.93793,0.3703,0.16065,0.07799,80,5.212
Pakistan,Asia,2015,0.59543,0.51466,0.41411,0.12102,0.10464,0.33671,81,5.194
Jordan,Asia,2015,0.90198,0.69639,1.05392,0.40661,0.14293,0.11053,82,5.192
Montenegro,Europe,2015,0.97438,0.72521,0.90557,0.1826,0.14296,0.1614,82,5.192
China,Asia,2015,0.89012,0.81658,0.94675,0.51697,0.02781,0.08185,84,5.14
Zambia,Africa,2015,0.47038,0.29924,0.91612,0.48827,0.12468,0.19591,85,5.129
Romania,Europe,2015,1.04345,0.7689,0.88588,0.35068,0.00649,0.13748,86,5.124
Serbia,Europe,2015,0.92053,0.74836,1.00964,0.20107,0.02617,0.19231,87,5.123
Portugal,Europe,2015,1.15991,0.87519,1.13935,0.51469,0.01078,0.13719,88,5.102
Latvia,Europe,2015,1.11312,0.72437,1.09562,0.29671,0.06332,0.18226,89,5.098
Philippines,Asia,2015,0.70532,0.58114,1.03516,0.62545,0.12279,0.24991,90,5.073
Somaliland region,Africa,2015,0.18847,0.43873,0.95152,0.46582,0.39928,0.50318,91,5.057
Morocco,Africa,2015,0.73479,0.60954,0.64095,0.41691,0.08546,0.07172,92,5.013
Macedonia,Europe,2015,0.91851,0.73545,1.00232,0.33457,0.05327,0.22359,93,5.007
Mozambique,Africa,2015,0.08308,0.09131,1.02626,0.34037,0.15603,0.22269,94,4.971
Albania,Europe,2015,0.87867,0.81325,0.80434,0.35733,0.06413,0.14272,95,4.959
Bosnia and Herzegovina,Europe,2015,0.83223,0.79081,0.91916,0.09245,0.00227,0.24808,96,4.949
Lesotho,Africa,2015,0.37545,0.07612,1.04103,0.31767,0.12504,0.16388,97,4.898
Dominican Republic,Central America,2015,0.89537,0.66825,1.17202,0.57672,0.14234,0.21684,98,4.885
Laos,Asia,2015,0.59066,0.54909,0.73803,0.59591,0.24249,0.42192,99,4.876
Mongolia,Asia,2015,0.82819,0.60268,1.3006,0.43626,0.02666,0.3323,100,4.874
Swaziland,Africa,2015,0.71206,0.07566,1.07284,0.30658,0.0306,0.18259,101,4.867
Greece,Europe,2015,1.15406,0.88213,0.92933,0.07699,0.01397,0.0,102,4.857
Lebanon,Asia,2015,1.02564,0.83947,0.80001,0.33916,0.04582,0.21854,103,4.839
Hungary,Europe,2015,1.12094,0.75905,1.20215,0.32112,0.02758,0.128,104,4.8
Honduras,Central America,2015,0.59532,0.6951,0.95348,0.40148,0.06825,0.23027,105,4.788
Tajikistan,Asia,2015,0.39047,0.57379,0.85563,0.47216,0.15072,0.22974,106,4.786
Tunisia,Africa,2015,0.88113,0.73793,0.60429,0.26268,0.06358,0.06431,107,4.739
Palestinian Territories,Asia,2015,0.59867,0.66015,0.92558,0.24499,0.12905,0.11251,108,4.715
Bangladesh,Asia,2015,0.39753,0.60164,0.43106,0.4082,0.12569,0.21222,109,4.694
Iran,Asia,2015,1.0088,0.69805,0.54447,0.30033,0.05863,0.38086,110,4.686
Ukraine,Europe,2015,0.79907,0.6739,1.20278,0.25123,0.02961,0.15275,111,4.681
Iraq,Asia,2015,0.98549,0.60237,0.81889,0.0,0.13788,0.17922,112,4.677
South Africa,Africa,2015,0.92049,0.27688,1.18468,0.33207,0.08884,0.11973,113,4.642
Ghana,Africa,2015,0.54558,0.40132,0.67954,0.42342,0.04355,0.23087,114,4.633
Zimbabwe,Africa,2015,0.271,0.33475,1.03276,0.25861,0.08079,0.18987,115,4.61
Liberia,Africa,2015,0.0712,0.34201,0.78968,0.28531,0.06232,0.24362,116,4.571
India,Asia,2015,0.64499,0.51529,0.38174,0.39786,0.08492,0.26475,117,4.565
Sudan,Africa,2015,0.52107,0.36878,1.01404,0.10081,0.1466,0.19062,118,4.55
Haiti,Central America,2015,0.26673,0.38847,0.74302,0.24425,0.17175,0.46187,119,4.518
Congo (Kinshasa),Africa,2015,0.0,0.09806,1.0012,0.22605,0.07625,0.24834,120,4.517
Nepal,Asia,2015,0.35997,0.56874,0.86449,0.38282,0.05907,0.32296,121,4.514
Ethiopia,Africa,2015,0.19073,0.44055,0.60406,0.4345,0.15048,0.24325,122,4.512
Sierra Leone,Africa,2015,0.33024,0.0,0.95571,0.4084,0.08786,0.21488,123,4.507
Mauritania,Africa,2015,0.45407,0.35874,0.86908,0.24232,0.17461,0.219,124,4.436
Kenya,Africa,2015,0.36471,0.41435,0.99876,0.42215,0.05839,0.37542,125,4.419
Djibouti,Africa,2015,0.44025,0.36291,0.59207,0.46074,0.28105,0.18093,126,4.369
Armenia,Asia,2015,0.76821,0.7299,0.77711,0.19847,0.039,0.07855,127,4.35
Botswana,Africa,2015,0.99355,0.04776,1.10464,0.49495,0.12474,0.10461,128,4.332
Myanmar,Asia,2015,0.27108,0.48246,0.70905,0.44017,0.19034,0.79588,129,4.307
Georgia,Asia,2015,0.7419,0.72926,0.38562,0.40577,0.38331,0.05547,130,4.297
Malawi,Africa,2015,0.01604,0.22562,0.41134,0.43054,0.06977,0.33128,131,4.292
Sri Lanka,Asia,2015,0.83524,0.70806,1.01905,0.53726,0.09179,0.40828,132,4.271
Cameroon,Africa,2015,0.4225,0.23402,0.88767,0.49309,0.05786,0.20618,133,4.252
Bulgaria,Europe,2015,1.01216,0.76649,1.10614,0.30587,0.00872,0.11921,134,4.218
Egypt,Africa,2015,0.8818,0.61712,0.747,0.17288,0.06324,0.11291,135,4.194
Yemen,Asia,2015,0.54649,0.40064,0.68093,0.35571,0.07854,0.09131,136,4.077
Angola,Africa,2015,0.75778,0.16683,0.8604,0.10384,0.07122,0.12344,137,4.033
Mali,Africa,2015,0.26074,0.20583,1.03526,0.38857,0.12352,0.18798,138,3.995
Congo (Brazzaville),Africa,2015,0.67866,0.31051,0.6629,0.41466,0.11686,0.12388,139,3.989
Comoros,Africa,2015,0.23906,0.36315,0.79273,0.22917,0.199,0.17441,140,3.956
Uganda,Africa,2015,0.21102,0.33861,1.13299,0.45727,0.07267,0.29066,141,3.931
Senegal,Africa,2015,0.36498,0.4354,0.97619,0.36772,0.10713,0.20843,142,3.904
Gabon,Africa,2015,1.06024,0.43372,0.90528,0.31914,0.11091,0.06822,143,3.896
Niger,Africa,2015,0.0694,0.29707,0.77265,0.47692,0.15639,0.19387,144,3.845
Cambodia,Asia,2015,0.46038,0.61114,0.62736,0.66246,0.07247,0.40359,145,3.819
Tanzania,Africa,2015,0.2852,0.38215,1.00268,0.32878,0.05747,0.34377,146,3.781
Madagascar,Africa,2015,0.20824,0.46721,0.66801,0.19184,0.08124,0.21333,147,3.681
Central African Republic,Africa,2015,0.0785,0.06699,0.0,0.48879,0.08289,0.23835,148,3.678
Chad,Africa,2015,0.34193,0.1501,0.76062,0.23501,0.05269,0.18386,149,3.667
Guinea,Africa,2015,0.17417,0.24009,0.46475,0.37725,0.12139,0.28657,150,3.656
Ivory Coast,Africa,2015,0.46534,0.15185,0.77115,0.46866,0.17922,0.20165,151,3.655
Burkina Faso,Africa,2015,0.25812,0.27125,0.85188,0.39493,0.12832,0.21747,152,3.587
Afghanistan,Asia,2015,0.31982,0.30335,0.30285,0.23414,0.09719,0.3651,153,3.575
Rwanda,Africa,2015,0.22208,0.42864,0.7737,0.59201,0.55191,0.22628,154,3.465
Benin,Africa,2015,0.28665,0.3191,0.35386,0.4845,0.0801,0.1826,155,3.34
Syria,Asia,2015,0.6632,0.72193,0.47489,0.15684,0.18906,0.47179,156,3.006
Burundi,Africa,2015,0.0153,0.22396,0.41587,0.1185,0.10062,0.19727,157,2.905
Togo,Africa,2015,0.20868,0.28443,0.13995,0.36453,0.10731,0.16681,158,2.839
Denmark,Europe,2016,1.44178,0.79504,1.16374,0.57941,0.44453,0.36171,1,7.526
Switzerland,Europe,2016,1.52733,0.86303,1.14524,0.58557,0.41203,0.28083,2,7.509
Iceland,Europe,2016,1.42666,0.86733,1.18326,0.56624,0.14975,0.47678,3,7.501
